day,Plasmablasts,Germinal Centre,Memory cells
4,13959.28563,5341.289465,1082.975014
4,19727.59282,2898.318273,972.4481441
4,31002.2913,7484.004497,1206.826825
4,92957.18197,50949.80998,45277.79176
4,93676.61322,30747.6685,26686.34497
4,207456.6365,47307.44326,56595.19417
7,12149.51022,30609.88821,1859.590359
7,2706.432212,1328.905661,474.1207162
7,3918.524481,11364.49906,953.1515343
7,58372.22085,208490.518,27745.50461
7,196146.3357,424557.7376,68908.9175
7,214421.5032,436748.6328,73249.9902
14,1553.919934,21966.25963,3235.290205
14,1576.881887,18884.45714,3416.978444
14,2827.1326,30607.17788,2518.084285
14,3354.229253,81761.59267,5701.72027
14,2412.903752,260715.6435,8268.293346
14,13259.4084,339607.2997,13111.52671
14,2381.705701,246873.0392,25204.31552
26,192.9422981,15163.2503,2753.688765
26,369.3348706,19174.83725,3287.643237
26,726.8342899,9569.523588,1668.723047
26,1168.180963,37282.61585,2767.074229
26,0,42757.24176,1655.209681
26,73.17881676,33709.60075,3269.461282
26,66.61729536,57294.01115,2546.708108
26,62.81826611,9236.749017,1373.388901
60,27.28062691,0,299.6758496
60,124.355952,4811.678197,624.0363679
60,293.8973274,15743.35984,2260.615613
60,62.64258,745.1283452,517.3543545
60,50.78623173,971.1455255,361.0912648
60,0,124.5597198,207.2902481
60,43.38593053,130.5695408,825.7277046
60,40.49426581,3951.016324,1098.361563
60,0,83.7322127,167.3388898
